Month,Split,N,Start,End
2020-01,Train,1968,2012-06-05,2019-09-30
2020-01,Validation,67,2019-10-01,2019-12-31
2020-01,Test,24,2020-01-01,2020-01-31
2020-02,Train,1992,2012-06-05,2019-10-31
2020-02,Validation,67,2019-11-01,2020-01-31
2020-02,Test,21,2020-02-03,2020-02-28
2020-03,Train,2013,2012-06-05,2019-11-29
2020-03,Validation,67,2019-12-02,2020-02-28
2020-03,Test,22,2020-03-02,2020-03-31
2020-04,Train,2035,2012-06-05,2019-12-31
2020-04,Validation,67,2020-01-01,2020-03-31
2020-04,Test,23,2020-04-01,2020-04-30
2020-05,Train,2059,2012-06-05,2020-01-31
2020-05,Validation,66,2020-02-03,2020-04-30
2020-05,Test,23,2020-05-01,2020-05-29
2020-06,Train,2080,2012-06-05,2020-02-28
2020-06,Validation,68,2020-03-02,2020-05-29
2020-06,Test,23,2020-06-01,2020-06-30
2020-07,Train,2102,2012-06-05,2020-03-31
2020-07,Validation,69,2020-04-01,2020-06-30
2020-07,Test,23,2020-07-01,2020-07-31
2020-08,Train,2125,2012-06-05,2020-04-30
2020-08,Validation,69,2020-05-01,2020-07-31
2020-08,Test,21,2020-08-03,2020-08-31
2020-09,Train,2148,2012-06-05,2020-05-29
2020-09,Validation,67,2020-06-01,2020-08-31
2020-09,Test,24,2020-09-01,2020-09-30
2020-10,Train,2171,2012-06-05,2020-06-30
2020-10,Validation,68,2020-07-01,2020-09-30
2020-10,Test,23,2020-10-01,2020-10-30
2020-11,Train,2194,2012-06-05,2020-07-31
2020-11,Validation,68,2020-08-03,2020-10-30
2020-11,Test,21,2020-11-02,2020-11-30
2020-12,Train,2215,2012-06-05,2020-08-31
2020-12,Validation,68,2020-09-01,2020-11-30
2020-12,Test,23,2020-12-01,2020-12-31
